Source,Target,Weight,July19Topic,PostDate
User6672,Post281,1,12,Feb-17
User6671,Post239,1,8,Mar-17
User6671,Post482,1,9,Mar-17
User6669,Post036,1,1,Apr-17
User6667,Post428,1,7,Mar-17
User6665,Post281,1,12,Feb-17
User6664,Post274,1,8,Mar-17
User6663,Post571,1,12,Feb-17
User6659,Post120,1,8,Mar-17
User6658,Post397,1,4,Apr-17
User6657,Post570,1,8,Feb-17
User6651,Post036,1,1,Apr-17
User6648,Post500,1,5,Mar-17
User6641,Post019,1,7,Apr-17
User6636,Post500,1,5,Mar-17
User6635,Post570,1,8,Feb-17
User6633,Post066,1,12,Mar-17
User6632,Post571,1,12,Feb-17
User6632,Post281,1,12,Feb-17
User6630,Post567,1,7,Apr-17
User6629,Post201,1,13,Mar-17
User6626,Post287,1,1,Apr-17
User6625,Post036,1,1,Apr-17
User6624,Post439,1,12,Apr-17
User6614,Post281,1,12,Feb-17
User6612,Post152,1,5,Mar-17
User6610,Post500,1,5,Mar-17
User6607,Post391,1,17,Mar-17
User6607,Post278,1,8,Feb-17
User6607,Post536,1,14,Jan-17
User6605,Post500,1,5,Mar-17
User6604,Post036,1,1,Apr-17
