Source,Target,Weight,July19Topic,PostDate
User7107,Post246,1,15,Nov-16
User7084,Post205,1,17,Sep-16
User7066,Post016,1,10,Nov-16
User6998,Post155,1,10,Dec-16
User6886,Post205,1,17,Sep-16
User6873,Post075,1,13,Nov-16
User6832,Post284,1,13,Nov-16
User6829,Post205,1,17,Sep-16
User6758,Post246,1,15,Nov-16
User6722,Post075,1,13,Nov-16
User6674,Post205,1,17,Sep-16
User6613,Post016,1,10,Nov-16
User6607,Post053,1,8,Dec-16
User6595,Post075,1,13,Nov-16
User6542,Post075,1,13,Nov-16
User6533,Post053,1,8,Dec-16
User6479,Post205,1,17,Sep-16
User6466,Post041,1,13,Dec-16
User6438,Post053,1,8,Dec-16
User6410,Post061,1,7,Dec-16
User6368,Post054,1,9,Sep-16
User6368,Post449,1,15,Sep-16
User6333,Post075,1,13,Nov-16
User6323,Post053,1,8,Dec-16
User6321,Post075,1,13,Nov-16
User6286,Post075,1,13,Nov-16
User6256,Post205,1,17,Sep-16
User6239,Post053,1,8,Dec-16
User6239,Post178,1,15,Dec-16
User6225,Post053,1,8,Dec-16
User6148,Post284,1,13,Nov-16
User6124,Post053,1,8,Dec-16
User6124,Post155,1,10,Dec-16
User6073,Post075,1,13,Nov-16
User6017,Post061,1,7,Dec-16
User5990,Post231,1,7,Nov-16
User5952,Post236,1,17,Oct-16
User5898,Post382,1,17,Sep-16
User5845,Post075,1,13,Nov-16
User5823,Post205,1,17,Sep-16
User5786,Post205,1,17,Sep-16
User5732,Post351,1,4,Nov-16
User5732,Post027,1,12,Oct-16
User5731,Post075,1,13,Nov-16
User5715,Post061,1,7,Dec-16
User5584,Post075,1,13,Nov-16
User5583,Post059,1,2,Nov-16
User5557,Post027,1,12,Oct-16
User5519,Post075,1,13,Nov-16
User5513,Post041,1,13,Dec-16
User5459,Post027,1,12,Oct-16
User5449,Post061,1,7,Dec-16
User5428,Post155,1,10,Dec-16
User5399,Post054,1,9,Sep-16
User5384,Post382,1,17,Sep-16
User5375,Post075,1,13,Nov-16
