Source,Target,Weight,July19Topic,PostDate
User2627,Post150,2,15,MayAug-17
User2627,Post426,2,15,MayAug-17
User2606,Post383,2,3,MayAug-17
User2602,Post279,2,14,MayAug-17
User2548,Post010,2,8,JanApr-17
User2537,Post417,2,11,JanApr-17
User2533,Post053,2,8,SepDec-16
User2525,Post279,2,14,MayAug-17
User2513,Post457,2,12,MayAug-17
User2512,Post206,2,10,SepDec-17
User2469,Post039,2,1,MayAug-17
User2379,Post287,2,1,JanApr-17
User2362,Post522,2,16,SepDec-17
User2359,Post053,2,8,SepDec-16
User2318,Post269,2,12,SepDec-17
User2311,Post571,2,12,JanApr-17
User2225,Post480,2,17,SepDec-17
User2207,Post493,2,1,SepDec-17
User2205,Post600,2,7,JanApr-17
User2196,Post571,2,12,JanApr-17
User2194,Post609,2,9,JanApr-17
User2186,Post536,2,14,JanApr-17
User2172,Post593,2,14,SepDec-17
User2140,Post560,2,10,MayAug-17
User2131,Post224,2,NA,SepDec-17
User2116,Post385,2,12,MayAug-17
User2102,Post047,2,9,JanApr-17
User2096,Post379,2,14,JanApr-17
User2053,Post385,2,12,MayAug-17
User2045,Post085,2,15,SepDec-17
User2013,Post279,2,14,MayAug-17
User1985,Post281,2,12,JanApr-17
User1983,Post302,2,NA,MayAug-17
User1966,Post051,2,11,JanApr-17
User1901,Post381,2,18,SepDec-17
User1831,Post482,2,9,JanApr-17
User1826,Post025,2,7,JanApr-17
User1725,Post279,2,14,MayAug-17
User1721,Post285,2,18,SepDec-17
User1715,Post279,2,14,MayAug-17
User1650,Post493,2,1,SepDec-17
User1650,Post164,2,5,SepDec-17
User1648,Post010,2,8,JanApr-17
User1635,Post201,2,13,JanApr-17
User1620,Post035,2,12,JanApr-17
User1543,Post447,2,1,JanApr-17
User1524,Post125,2,16,JanApr-17
User1480,Post513,2,6,JanApr-17
User1403,Post385,2,12,MayAug-17
User1386,Post536,2,14,JanApr-17
User1295,Post066,2,12,JanApr-17
User1280,Post075,2,13,SepDec-16
User1278,Post164,2,5,SepDec-17
User1269,Post120,2,8,JanApr-17
User1265,Post536,2,14,JanApr-17
User1236,Post281,2,12,JanApr-17
User1223,Post036,2,1,JanApr-17
User1215,Post185,2,13,JanApr-17
User1211,Post269,2,12,SepDec-17
